,coefs,pval
472,Canonical_variate_23_Canonical variate x e3/3,0.214
473,Canonical_variate_24_Canonical variate x e3/3,0.024
474,Canonical_variate_25_Canonical variate x e3/3,0.154
475,Canonical_variate_26_Canonical variate x e3/3,0.212
476,Canonical_variate_27_Canonical variate x e3/3,0.108
477,Canonical_variate_28_Canonical variate x e3/3,0.102
478,Canonical_variate_29_Canonical variate x e3/3,0.021
479,Canonical_variate_30_Canonical variate x e3/3,0.071
480,Canonical_variate_31_Canonical variate x e3/3,0.182
481,Canonical_variate_32_Canonical variate x e3/3,0.072
482,Canonical_variate_33_Canonical variate x e3/3,0.259
483,Canonical_variate_34_Canonical variate x e3/3,0.142
484,Canonical_variate_35_Canonical variate x e3/3,0.101
485,Canonical_variate_36_Canonical variate x e3/3,0.076
486,Canonical_variate_37_Canonical variate x e3/3,0.197
487,Canonical_variate_38_Canonical variate x e3/3,0.091
488,Canonical_variate_39_Canonical variate x e3/3,0.119
489,Canonical_variate_40_Canonical variate x e3/3,0.188
490,Canonical_variate_41_Canonical variate x e3/3,0.053
491,Canonical_variate_42_Canonical variate x e3/3,0.141
492,Canonical_variate_43_Canonical variate x e3/3,0.208
493,Canonical_variate_44_Canonical variate x e3/3,0.084
494,Canonical_variate_45_Canonical variate x e3/3,0.065
495,Canonical_variate_46_Canonical variate x e3/3,0.059
496,Canonical_variate_47_Canonical variate x e3/3,0.061
497,Canonical_variate_48_Canonical variate x e3/3,0.119
498,Canonical_variate_49_Canonical variate x e3/3,0.231
499,Canonical_variate_50_Canonical variate x e3/3,0.193
500,Canonical_variate_1_Canonical variate x e2/4,0.248
501,Canonical_variate_2_Canonical variate x e2/4,0.123
502,Canonical_variate_3_Canonical variate x e2/4,0.003
503,Canonical_variate_4_Canonical variate x e2/4,0.098
504,Canonical_variate_5_Canonical variate x e2/4,0.144
505,Canonical_variate_6_Canonical variate x e2/4,0.328
506,Canonical_variate_7_Canonical variate x e2/4,0.066
507,Canonical_variate_8_Canonical variate x e2/4,0.436
508,Canonical_variate_9_Canonical variate x e2/4,0.289
509,Canonical_variate_10_Canonical variate x e2/4,0.003
510,Canonical_variate_11_Canonical variate x e2/4,0.337
511,Canonical_variate_12_Canonical variate x e2/4,0.074
512,Canonical_variate_13_Canonical variate x e2/4,0.292
513,Canonical_variate_14_Canonical variate x e2/4,0.048
514,Canonical_variate_15_Canonical variate x e2/4,0.097
515,Canonical_variate_16_Canonical variate x e2/4,0.126
516,Canonical_variate_17_Canonical variate x e2/4,0.015
